Date,Open,High,Low,Close,Volume
2021-03-12,231.74,231.74,222.505,229.26,1330811
2021-03-15,228.15,237.11,225.95,236.62,1088384
2021-03-16,237.35,241.04,233.18,235.89,1076847
2021-03-17,233.73,236.51,226.1,234,799419
2021-03-18,229,229,219.145,219.28,1492480
2021-03-19,221.21,222.255,215.22,219.09,2251748
2021-03-22,220.62,225.3,220.185,221.74,1246372
2021-03-23,224.24,225.69,221.1862,222.92,925559
2021-03-24,222.72,223.06,209.01,210.44,1306199
2021-03-25,206.13,207.35,200.42,206.84,2765731
2021-03-26,207.44,212.96,204.03,212.94,1273257
2021-03-29,210.75,211.015,198.8,204.59,1893297
2021-03-30,199.315,205.79,198.9,204.43,884128
2021-03-31,208.57,216.52,207.66,210.76,1697068
2021-04-01,216.01,228,212.25,223.06,3244234
2021-04-05,224.33,225,218.5001,221.23,1122707
2021-04-06,221.18,227.185,218.8,223.13,963320
2021-04-07,222.33,223.15,217.27,217.63,873970
2021-04-08,221.77,224.7899,219.01,224.11,2409910
2021-04-09,223.85,225.87,218.7,225.4,1572711
2021-04-12,225.11,234.91,224.63,230.66,1478390
2021-04-13,234.9,243.4,234.05,242.19,2085314
2021-04-14,243.75,244.93,231.09,231.48,2079082
2021-04-15,233.69,240.85,233.1,239.13,1149758
2021-04-16,239.25,239.25,233.08,234.76,901073
2021-04-19,232.915,236,227.82,228.21,937054
2021-04-20,227.55,230.72,224.53,226.34,853310
2021-04-21,225.72,227.61,222,226.58,927531
2021-04-22,226.02,232.475,225.05,228.45,881466
2021-04-23,229.41,232.305,228.45,230.82,566996
2021-04-26,230.68,236.738,227.66,236.5,763270
2021-04-27,237.03,237.9,232.11,236.12,706977
2021-04-28,235,237.77,232.83,235.96,597538
2021-04-29,235.04,235.9999,224.48,228.12,1414755
2021-04-30,231.05,241,230,237.56,3070635
2021-05-03,237.79,238.31,227.7,229.99,1760205
2021-05-04,226.05,226.8,218.58,225.02,2297326
2021-05-05,226.73,231.24,222.305,223.5,787995
2021-05-06,221.63,221.93,214.61,218.77,1128030
2021-05-07,224,227,219.01,219.63,836530
2021-05-10,216.57,218.25,213.4,215.83,1281655
2021-05-11,207.91,226.69,207.83,224.44,2259059
2021-05-12,216.36,225.17,215.79,223.87,1907400
2021-05-13,227.3,229.5,212,212.45,2048138
2021-05-14,217.59,218.84,212.57,214.99,2874077
2021-05-17,213.9,214.85,208.21,212.3,2015283
2021-05-18,214.18,220.41,213.5,217.02,1999583
2021-05-19,211.91,216.58,209.275,216.18,1777497
2021-05-20,218.99,227.15,218.14,224.66,2408081
2021-05-21,225,226.9,221.49,223.65,1947407
2021-05-24,224.21,227.4999,221.7,222.6,2434731
2021-05-25,221.02,228.74,221.02,225.72,1915112
2021-05-26,225.97,231.93,225.93,230.49,1134125
2021-05-27,226.69,233,223.45,231.89,1112054
2021-05-28,233.67,239.2638,233.205,233.28,1010558
2021-06-01,233.49,234.65,225.125,231.98,963320
2021-06-02,231.06,234.5875,230.36,231.45,780733
2021-06-03,228.33,230.67,221.09,221.37,1196379
2021-06-04,225.29,227.76,224.07,225.88,764795
2021-06-07,224.56,228.44,221.46,228.13,776496
2021-06-08,230,234.74,226.49,228.93,967981
2021-06-09,230.79,234.92,230.74,232.31,950767
2021-06-10,229.2,239.04,229.1,238.56,1137955
2021-06-11,238.81,244.66,236.411,244.09,1452774
2021-06-14,245,250.99,243.1101,250.89,1714725
2021-06-15,250,251.5,244.29,245.8,604564
2021-06-16,245.7,251.99,243.23,248.46,1257307
2021-06-17,247.34,263,246.32,262.51,1783468
2021-06-18,262.15,267.56,261.5427,266.56,2097424
2021-06-21,264.51,268.52,258.39,267.16,1229723
2021-06-22,267.44,270.01,264.5,267.96,1234190
2021-06-23,267.03,269.99,265.08,267.49,1060705
2021-06-24,269.64,272.13,266.62,266.96,848494
2021-06-25,268.41,268.77,262.08,264.69,1034817
2021-06-28,265.22,267.58,262.54,263.23,1523693
2021-06-29,264.54,266.305,260.58,264.15,1672744
2021-06-30,262.89,262.89,255.3,256.86,1023178
2021-07-01,256.23,259.85,255.35,258.43,638421
2021-07-02,259.71,263.81,259.145,262.72,665333
2021-07-06,262.99,271.98,262.99,268.43,850622
2021-07-07,270.5,273.34,267.35,269.06,788937
2021-07-08,264.02,268.58,262.71,266.66,666919
2021-07-09,265.21,269.145,260.23,268.64,882449
2021-07-12,271.07,275.67,260.71,261.36,1662968
2021-07-13,260.81,265.655,258.67,261.14,1441631
2021-07-14,263.89,267.64,257.33,259.22,1178571
2021-07-15,260.39,265.41,256.51,259.36,787076
2021-07-16,260.35,263.84,259.66,260.64,458718
2021-07-19,259,263.58,257.63,262.87,610757
2021-07-20,264.5,269.98,260,267.62,955927
2021-07-21,266.99,269.12,263.85,268.85,758756
2021-07-22,262,269.34,261.68,269.13,884651
2021-07-23,269.58,273,266.85,271.29,751249
2021-07-26,270.87,270.87,265.24,267.54,813743
2021-07-27,267.61,269.36,259.99,264.97,888645
2021-07-28,265.13,269.98,264.02,269.08,546316
2021-07-29,267.5,271.62,264.88,266.79,1147789
2021-07-30,310,349.5,310,325.12,6133589
2021-08-02,324.2,326.97,313.4041,322.58,1948033
2021-08-03,325.62,336.65,324.335,329.42,1081132
2021-08-04,328.86,341.42,328.56,340.44,1326257
2021-08-05,340.21,343.15,335.38,342.43,1273383
2021-08-06,338.05,339.8,331.3,334.51,893196
2021-08-09,336.28,337.74,331.39,335.84,1247787
2021-08-10,337.61,340.5,325.75,327.52,1358528
2021-08-11,329.98,333.36,326,332.56,946527
2021-08-12,329.95,340.77,329.71,338.04,579860
2021-08-13,338.01,340.24,335.75,337.94,471602
2021-08-16,336.83,339.05,324.72,334.02,562690
2021-08-17,332.58,338.98,328.8,336.73,637600
2021-08-18,335.92,343.57,335.16,337.73,685367
2021-08-19,335.13,338.57,332.1905,334.56,961389
2021-08-20,334.47,346.64,334.47,346,914167
2021-08-23,342.23,353.6196,342.12,352.49,904222
2021-08-24,351.78,356.605,351.78,353.89,875417
2021-08-25,349.74,356.09,349.52,353.41,678357
2021-08-26,352.18,357.5,349.82,349.99,838834
2021-08-27,350.99,359.31,350.99,358.34,651513
2021-08-30,360,368.3294,360,366.03,799323
2021-08-31,364.33,368.12,362.59,367.06,853568
2021-09-01,369.05,373.44,368,371.7,694451
2021-09-02,371.88,376.36,370.4808,376,624037
2021-09-03,376.04,387.475,375.13,384.59,1197553
2021-09-07,383.39,384.98,379.24,381.69,910973
2021-09-08,380.41,385.94,378.9954,381.75,801044
2021-09-09,380.17,383.63,377.315,378.84,865830
2021-09-10,379.4,385.82,378.98,379.97,893869
2021-09-13,379.77,379.77,371.84,376.71,853801
2021-09-14,380.24,393.189,379.265,389.39,1119250
2021-09-15,387.47,394.99,386.8201,394.53,952138
2021-09-16,394.4,404.535,392.45,403.91,780500
2021-09-17,404,409.6,397.39,404.6,2222845
2021-09-20,395.22,402.69,392.1394,400.59,1273580
2021-09-21,408.46,420.23,404.695,405.98,1629550
2021-09-22,405.96,409.68,401.79,406.4,1236753
2021-09-23,407.94,412,401.245,409.6,1244610
2021-09-24,411.33,414.72,401.455,413.94,798193
2021-09-27,405.5,409.77,388.18,391.89,1444171
2021-09-28,383.71,391.11,375.5,381.58,1698501
2021-09-29,385,391.72,378.02,387.6,883400
2021-09-30,391.94,398.25,390.1394,391.42,843693
2021-10-01,393,395.68,383.9,392.22,1324741
2021-10-04,390.76,390.76,376,382.71,1277618
2021-10-05,385.7,392.57,384.78,389.94,1002271
2021-10-06,385.79,398.5,385.36,395.19,1050696
2021-10-07,397.6,402.06,392.29,392.98,880067
2021-10-08,400.17,402,387.16,390.74,785914
2021-10-11,387.15,396.47,385.35,389.5,493652
2021-10-12,393.27,402.44,391.45,397.47,567101
2021-10-13,401.32,407.91,399.33,407.04,697806
2021-10-14,412.61,415.88,406.165,406.73,583935
2021-10-15,406.73,409.79,400.89,409.74,587138
2021-10-18,407.73,414.8019,404.14,414.77,617656
2021-10-19,415,415.6,405.335,410.46,678252
2021-10-20,414.9,415.7,405.43,409.69,710184
2021-10-21,410.12,421.49,408.7,417.12,1258334
2021-10-22,418.67,425.295,414.5593,423.2,851372
2021-10-25,426.14,431.44,424.6,429.01,1111788
2021-10-26,424,433.58,421.75,424.52,789477
2021-10-27,424.53,428.09,412.255,412.88,808319
2021-10-28,410.77,418.41,410.02,417.33,1505379
2021-10-29,452.5,483.13,441.17,458.13,2862737
2021-11-01,455.2,461.45,445.59,450.14,1227575
2021-11-02,450.21,453.9,444.13,450.29,850335
2021-11-03,450.83,453.28,436.28,445.43,791115
2021-11-04,444.11,454.95,441.91,449.12,855205
2021-11-05,447.38,449.55,436.755,440.22,689543
2021-11-08,441.01,444.2671,437.3901,442.76,694983
2021-11-09,448.67,453,440.11,444.5,776319
2021-11-10,444,444.31,429.63,433.57,760763
2021-11-11,438.71,443.57,436.37,441.59,549533
2021-11-12,444.66,451.5,441.02,445.12,670899
2021-11-15,445.91,446.26,431.57,433.99,611666
2021-11-16,431.75,445.61,430.04,443.96,868678
2021-11-17,445,445.5,438.1601,440.24,527824
2021-11-18,441,448,436.1839,440.69,742387
2021-11-19,441,443.2512,429.8,429.86,941685
2021-11-22,426.85,428.24,401.91,403,1608379
2021-11-23,397.555,400,376.07,389.51,1756713
2021-11-24,386.96,393.45,381.73,393.07,717728
2021-11-26,388.56,398.97,388.56,391.54,449445
2021-11-29,395.6,404.09,391.86,397.69,767739
2021-11-30,398.29,404.68,373.2,376.32,1709264
2021-12-01,383.71,386.93,356.78,357.21,2157588
2021-12-02,357.1,370.94,356.21,368.94,1541638
2021-12-03,368.95,368.95,339.97,349.5,2197044
2021-12-06,343.5,357.54,332.01,353.44,1620725
2021-12-07,366.53,383.69,366.32,382.99,2189571
2021-12-08,384.57,388.12,378.32,387.41,906779
2021-12-09,387.41,390.92,369.42,375.44,1427688
2021-12-10,379.59,388.99,368.4,372.62,694826
2021-12-13,372.2,381.645,368.045,369.93,1019336
2021-12-14,361.71,363.155,344.645,351.74,1858002
2021-12-15,352.28,368.2654,347.55,364.43,1243011
2021-12-16,364.43,366.77,344.22,345.44,1491270
2021-12-17,342.63,352.62,333.34,350.96,3136346
2021-12-20,336.76,348.97,333.03,343.33,1378451
2021-12-21,347.58,383.41,345.95,380.63,2813180
2021-12-22,382.32,395,379.27,388.05,2238181
2021-12-23,386.22,389.49,380.51,387.92,1087112
2021-12-27,390.59,397.78,389.45,394.43,758168
2021-12-28,395.37,399.103,386.12,388.61,649175
2021-12-29,388.61,389.27,376.44,382.78,627587
2021-12-30,383.58,392.85,381.925,385.36,834686
2021-12-31,383.81,388.87,380.75,381.29,556542
2022-01-03,380.43,380.63,349.56,350.42,1682926
2022-01-04,347.28,347.28,316.57,334.99,4131589
2022-01-05,327.25,331.6882,309.59,311.64,3509606
2022-01-06,309.11,320.97,299.195,313.75,2293827
2022-01-07,310.36,317.11,294.25,303.71,2220743
2022-01-10,295.5,314.44,284.575,312.98,3044646
2022-01-11,309.99,316.56,303.69,314.95,1796489
2022-01-12,318.48,324.13,315.01,320.59,2785196
2022-01-13,319.85,321.7062,297.62,298.65,2426098
2022-01-14,296.42,302.98,284.365,297.39,4026222
2022-01-18,284.64,305.98,281.18,293.63,2254060
2022-01-19,298.01,305.435,292.56,293.46,1790074
2022-01-20,300.47,309.78,289.69,291.32,1801858
2022-01-21,289.35,295.67,282.64,283,2098670
2022-01-24,277.485,303,273.4222,300.27,3460143
2022-01-25,294.58,294.67,275.15,286.69,3822156
2022-01-26,294.74,308.81,287.08,293.06,3609685
2022-01-27,300.02,310.14,290.38,290.89,3023236
2022-01-28,312.05,329.12,286.89,319.17,5822089
2022-01-31,319.08,329.26,316.83,324.34,3100707
2022-02-01,324.83,328.65,313.565,325.87,1875263
2022-02-02,328.89,328.89,309.655,314.29,2123237
2022-02-03,306.25,316.07,302.67,304.41,1863089
2022-02-04,304.78,324.201,301.01,320.91,2023256
2022-02-07,319.85,328.705,311.68,314.19,1698180
2022-02-08,311.8,318.945,307.76,318.05,862051
2022-02-09,323.47,336.639,321,335.6,1528525
2022-02-10,326.63,352.71,324.51,346.16,2236695
2022-02-11,346.9,352.92,319.53,321.76,1843129
2022-02-14,320.77,325.39,313.96,320.25,1728143
2022-02-15,328.06,335.84,323.63,330.33,1359567
2022-02-16,324.88,325.865,312.01,318.71,1046883
2022-02-17,314.31,316.1,303.1,304,1925956
2022-02-18,304.2,310.97,297.04,298.07,1609878
2022-02-22,292.18,303,290.88,295.7,1668586
2022-02-23,298.7,300.95,280.7976,281.02,1545680
2022-02-24,270.19,302.02,268.2,301.6,2318769
2022-02-25,297.74,305.36,293.61,305.03,1149978
2022-02-28,300,312.06,300,305.72,1190429
2022-03-01,308,321.76,304.88,307.27,1538956
2022-03-02,310.23,312.24,296.49,309.28,1428054
2022-03-03,309.9,310.53,282.39,286.88,2887539
2022-03-04,287.33,292.64,266.59,267.61,1856731
2022-03-07,270.84,273.979,243.61,244.24,3147164
2022-03-08,242.76,245.8199,232.6896,240.95,2573023
2022-03-09,256.25,264.86,251.8,261.59,2614939
2022-03-10,253.98,262.14,252.08,255.2,1684942
2022-03-11,258.3,258.65,244.69,246.39,1466375
2022-03-14,244.59,254.09,237.79,238.66,2026064
2022-03-15,238.35,246.36,236.53,245.17,1743668
2022-03-16,255.61,281.41,254.07,280.96,3738391
2022-03-17,277.08,284.62,272.1753,280.13,2330900
2022-03-18,283.6,295.4,279.06,294.73,2103510
2022-03-21,291.29,296,280.81,288.31,1595540
2022-03-22,286.17,306.565,285.785,298.51,1399218
2022-03-23,290.17,299.09,284.2501,289.41,1096855
2022-03-24,292.49,294.53,278.2,294.13,1762452
2022-03-25,294.13,294.73,274.8,284.21,1531691
2022-03-28,286.81,303.41,286.74,302.31,1748253
2022-03-29,304.77,315,298.31,311.64,1587145
2022-03-30,306.85,310.8399,297,302.64,1325810
2022-03-31,303.2,304.25,292.05,293.83,1636948
2022-04-01,297.03,312.63,295.05,305.75,1678571
2022-04-04,305.83,317.69,304.79,317.18,1694500
2022-04-05,317,318.64,296.5,299.86,2035454
2022-04-06,294.02,294.02,278.5,286.96,2324587
2022-04-07,286.9,298.48,283.87,292.97,1767015
2022-04-08,271.15,282.56,265.11,272.02,4433673
2022-04-11,267.59,275.8179,263.06,271.63,1819108
2022-04-12,281.33,283.81,267.5,268.32,1624670
2022-04-13,270.04,282.37,266.33,280.33,1121091
2022-04-14,280.07,280.07,263.94,265.35,1553263
2022-04-18,265.35,265.35,254.15,259.12,1157644
2022-04-19,258,277.705,257.08,273.9,1443521
2022-04-20,277.82,277.99,264.74,265.81,965870
2022-04-21,267.59,273.88,251.69,253.82,1247854
2022-04-22,255.36,256.7,243.85,245.29,1379552
2022-04-25,245.84,254.1,244.05,253.63,1229071
2022-04-26,250.28,250.9232,242.555,242.98,1462357
2022-04-27,245.74,252.76,241.855,243.66,1261881
2022-04-28,251.45,263.44,246.6702,259.98,3214551
2022-04-29,242.33,250.93,224.03,224.83,4478616
2022-05-02,224.39,235.47,219.55,235.28,2976227
2022-05-03,232.42,235.15,221.37,223.54,1770964
2022-05-04,226.7,234.91,211.45,234.7,2793293
2022-05-05,229.25,229.25,210.2,212.71,2243639
2022-05-06,210.9,210.93,193.61,202.26,3370126
2022-05-09,198.27,200.6,180.1,183.35,4834340
2022-05-10,191.79,194.48,174.64,180.98,2551315
2022-05-11,178.12,186.04,166.48,169.28,2680616
2022-05-12,164.572,175.27,161.04,168.24,4023011
2022-05-13,175.56,189.32,173.89,188.9,3758219
2022-05-16,184.39,186.34,170.81,177,3007773
2022-05-17,184.93,186,166.84,174.43,2885136
2022-05-18,171.8,172.105,159.54,162.49,2770052
2022-05-19,163.93,178.42,162.865,174.75,3062957
2022-05-20,178.6,182.015,169.175,177.4,2036975
2022-05-23,174.03,180,171.24,177.7,1828524
2022-05-24,174.08,174.49,161.99,164.17,2394432
2022-05-25,162,173.09,161.21,170.75,1732796
2022-05-26,168.45,176.59,166.04,175.18,1465397
2022-05-27,178,184.92,176.48,184.78,1565689
2022-05-31,184.78,186.26,176.12,177.32,1542643
2022-06-01,181.1,187.39,176.49,179.25,1392344
2022-06-02,178.22,197.49,177.5,196.62,2072533
2022-06-03,191.81,196.12,187.52,190.57,1232392
2022-06-06,194.45,196.81,187.95,190.27,1006939
2022-06-07,186.34,202.9834,185.77,200.85,1744274
2022-06-08,198.77,203.27,198.48,200.8,1699529
2022-06-09,197.44,203.4,192.59,196.06,1610256
2022-06-10,190.64,191.61,181.32,183.81,1564016
2022-06-13,173.97,177.32,165.4961,166.29,2195538
2022-06-14,167.12,171,164.44,167.68,1137822
2022-06-15,170,182.97,168.3,179.66,1933293
2022-06-16,172.14,174.9,162.865,165.74,2163122
2022-06-17,167.78,179.455,167.64,178.55,3391110
2022-06-21,181.55,187.49,181.06,183,1556395
2022-06-22,179.76,190.41,179,185.4,1600046
2022-06-23,188.57,194.2,183.08,193.26,1866855
2022-06-24,198.71,205.56,196.765,205.32,2432159
2022-06-27,210,211.83,200,202.21,2129252
2022-06-28,200.41,205.25,190.67,192.6,1331163
2022-06-29,191.77,196.15,188,192.36,818235
2022-06-30,189,190.65,179.84,187.4,1613441
2022-07-01,188.39,199.27,186.52,197.51,1710929
2022-07-05,194.4,208.56,191.94,208.39,1558712
2022-07-06,209.43,212.015,203.77,207.85,2097629
2022-07-07,207.54,214.84,206.7839,213.77,1452353
2022-07-08,206.51,215.355,205.59,214.08,1137960
2022-07-11,213.46,215.16,206.33,211.03,1554493
2022-07-12,207,207.28,189.32,192.67,3017533
2022-07-13,187.82,200.3257,184.87,194.47,1206595
2022-07-14,192.42,193,183.04,184.98,1725652
2022-07-15,185.95,191.52,183.67,188.89,1809076
2022-07-18,194.42,196.89,186.53,187.97,1901739
2022-07-19,191.15,192.13,178.68,191.59,1508623
2022-07-20,198.15,215.14,195.15,213.04,2790567
2022-07-21,211.64,216.06,210.09,214.18,1210173
2022-07-22,215.67,220.13,200.635,202.27,1987387
2022-07-25,201.09,201.6124,193.89,196.05,1204441
2022-07-26,194.79,194.8,184.36,187.61,1649999
2022-07-27,194.66,199.93,189.74,197.28,1734089
2022-07-28,195.06,205.96,190.92,204.85,1667009
2022-07-29,205.54,210.3,203.13,209.32,1464625
2022-08-01,207.83,217.6,205,210.59,1485765
2022-08-02,205,216.26,204.6783,214.21,1247337
2022-08-03,216.6,226.88,216.6,225.14,1536088
2022-08-04,222.31,230.88,220.04,230.41,2159032
2022-08-05,245.68,269.49,245.31,268.59,6815189
2022-08-08,265.41,289.12,264.97,279.35,5405414
2022-08-09,274,286.88,273.02,278.86,2757041
2022-08-10,287.37,300.29,285,286.19,2351183
2022-08-11,291.53,292.24,273.96,275.8,2440985
2022-08-12,278.58,283.87,270.72,283.25,2373358
2022-08-15,282.23,290.63,281,288.47,1239739
2022-08-16,286.5,290.5,282.88,289.36,1187945
2022-08-17,283,287.13,280.65,284.26,1431126
2022-08-18,283,286.28,279.355,283.37,1122569
2022-08-19,278.02,278.25,267.44,269.34,1643994
2022-08-22,260.9,264.61,254.78,258.47,2592156
2022-08-23,258.41,261.4,254.57,258.28,987891
2022-08-24,260.85,262.79,258.39,258.66,813867
2022-08-25,260,266.5,258.6,266.33,1072771
2022-08-26,265.68,267.58,256.51,257.05,1720870
2022-08-29,250.02,259.48,249.33,250.96,1141283
2022-08-30,251.73,256,246.14,251.4,1028619
2022-08-31,252,257.04,246.85,247.66,1120805
2022-09-01,243.02,244.93,230.84,235.43,2412745
2022-09-02,239.16,240.94,229.49,232.42,1907164
2022-09-06,232.42,233.91,227.88,229.67,933161
2022-09-07,231.11,236.93,227.545,235.42,1060993
2022-09-08,231.86,241.79,229.87,240.32,781727
2022-09-09,245.38,261.3,245.38,258.93,2172949
2022-09-12,261,264.97,259.54,264.79,1544875
2022-09-13,247.1,253.67,245.25,248.9,1771966
2022-09-14,250.54,255.89,244.27,255.57,840894
2022-09-15,250.06,259.68,248.9,252.89,1065158
2022-09-16,248.2,248.2,239.54,242.9,1690134
2022-09-19,241.43,243.656,236.91,241.62,1710395
2022-09-20,238.62,239.68,233.84,235.19,1003836
2022-09-21,237.41,245.64,232.29,232.3,1401806
2022-09-22,230,232.7,220.64,220.69,1424465
2022-09-23,216.5,221.82,214.82,217.56,1326690
2022-09-26,216.85,222.6,212.96,213.61,1583150
2022-09-27,218.7,222.06,211.32,214.59,1335099
2022-09-28,214.08,219.585,211.4,218.14,1331502
2022-09-29,212.61,214.21,204.73,212.33,1334731
2022-09-30,212.4,221.365,210.34,210.59,1403479
2022-10-03,214.55,219.81,210.01,217.33,1452821
2022-10-04,226.66,236.56,223.71,236.21,2317536
2022-10-05,230.48,244.66,229.575,242.46,1793357
2022-10-06,244.57,246.15,237.16,238.99,1102912
2022-10-07,231.94,233.61,225.3,228.24,1327059
2022-10-10,228.23,228.48,218.95,220.27,1138317
2022-10-11,216.85,218.56,205.56,207.64,1778100
2022-10-12,207.82,208.45,197.43,203.37,1921823
2022-10-13,191.79,203.44,184.47,202.2,2301745
2022-10-14,207.02,207.5,188.595,189,1807705
2022-10-17,196.93,207.18,193.845,204.67,1730464
2022-10-18,211.77,214,199.75,201.44,2315258
2022-10-19,197.01,198.24,186.56,187.73,2545131
2022-10-20,189.47,200.7,187.68,192.62,1676774
2022-10-21,190.13,194.8,186.28,194.1,1607746
2022-10-24,193.47,195.025,188.04,194.85,1670914
2022-10-25,197.37,206.14,197.37,206.04,2081264
2022-10-26,196.21,209.19,194.62,195.22,1567193
2022-10-27,202.11,205.7599,197.31,198,1855605
2022-10-28,194.5,201.18,189.67,200.82,1657982
2022-10-31,197.84,206.24,197.2,202.73,1846725
2022-11-01,209.87,211.99,191.26,191.74,1472652
2022-11-02,191.81,192,171.14,172.4,3575731
2022-11-03,170,178.77,168.4898,174.17,3460204
2022-11-04,131,133,115.06,123.73,15573090
2022-11-07,122.89,123.225,114.11,119.23,7110583
2022-11-08,120.18,128.9,117.21,122.72,3911039
2022-11-09,121.61,126.48,119.38,122.29,3438871
2022-11-10,131.29,144.92,131.2,140.85,5069435
2022-11-11,138.83,148.15,137.81,142.37,2730886
2022-11-14,139.76,139.76,129.22,134.96,2394443
2022-11-15,140.48,146.71,139.88,141.18,2724462
2022-11-16,138.44,139.7151,128.96,129.27,2831924
2022-11-17,124.7,128.5,121.46,121.69,3097776
2022-11-18,124.85,125,117.8,118.76,3534830
2022-11-21,116.4,117.78,113.855,117.56,2681079
2022-11-22,117.55,118.76,114.605,116.34,2336011
2022-11-23,117.07,125,115.24,124.5,2835876
2022-11-25,122.49,124.76,121.42,124.13,1040953
2022-11-28,123.41,127.545,122.815,126.45,2636053
2022-11-29,125.83,127.68,121.37,122.01,2417876
2022-11-30,120.17,132.19,119.45,131.55,3385774
2022-12-01,132.07,140.59,131.55,140.06,2930047
2022-12-02,136.9,142.82,132.75,141,3678328
2022-12-05,140.2,142.13,131.585,133.61,2909695
2022-12-06,134.94,134.94,123.23,124.96,3444163
2022-12-07,125.81,126.89,122.21,125.46,2930717
2022-12-08,130.6,138.41,128.31,135.71,5000782
2022-12-09,134.21,140.43,134.21,137.33,3911089
2022-12-12,136.25,149.07,136.18,143.79,4693875
2022-12-13,155.29,157.73,141.23,143.91,5678602
2022-12-14,143.6,153.15,143.402,149.85,6887806
2022-12-15,145.01,149.515,142.39,146.23,6389388
2022-12-16,145.5,148.96,143.78,147.26,17456200
2022-12-19,145.51,145.87,136.45,139.17,6813263
2022-12-20,136.56,139.67,133.4,138.02,5887232
2022-12-21,137.79,140.77,133.385,139.62,2692028
2022-12-22,136.67,137.31,124.5201,127.26,4558397
2022-12-23,125.26,127.45,122.21,127.22,2282220
2022-12-27,125.25,126.45,122.16,124.83,1579391
2022-12-28,124.83,126.4899,121.2,123.3,1333617
2022-12-29,125.18,130.23,124.1,129.68,1653877
2022-12-30,127.15,129.67,126.23,128.68,1419935
2023-01-03,131.91,132.71,119.84,126.5,2862121
2023-01-04,128,128.195,123.22,126.4,2148409
2023-01-05,124.5,125.35,119.82,119.97,2691752
2023-01-06,120.68,124.195,116.4,121.28,2886769
2023-01-09,123.77,127.72,121.865,127.17,3959557
2023-01-10,126.26,132.56,125.225,132.16,2592295
2023-01-11,136.9,145.55,135.8,141.78,4067520
2023-01-12,141.07,147.34,139.07,146.48,2519618
2023-01-13,143.9,148.83,143,148,1820555
2023-01-17,147.5,154.36,144.26,152.91,1877883
2023-01-18,155.24,157.6299,147.2701,148.73,1766020
2023-01-19,147.34,150.9099,145.83,148.89,1632731
2023-01-20,149.44,159.995,148.901,157.75,2793472
2023-01-23,155.86,156,150.06,154.58,4615771
2023-01-24,152.665,153.04,147.04,151.7,2212070
2023-01-25,147.24,153.76,140.92,151.93,2691091
2023-01-26,154.59,158.82,152.4,158.38,1934634
2023-01-27,157.4,165.06,155.5,164.25,2758126
2023-01-30,160.92,162.9099,154.34,156.94,2486113
2023-01-31,158.65,161.69,157.0401,161.62,1790378
2023-02-01,161.7,170.96,159.8,170.31,2036271
2023-02-02,179.65,183.43,175.95,182.41,4849446
2023-02-03,159.34,172.88,158.41,169.3,7323032
2023-02-06,165.4,178.71,165.06,172.37,2717583
2023-02-07,170.94,182.175,168.24,181.16,2904182
